,Description,Assignment group
0,job fail scheduler,4
1,job fail scheduler,1
2,circuit outage company usa plant bld carb access switch since,1
3,job fail scheduler,3
4,hello please usa access add shryresh rdyrty share mail box investor relation kindly needful,3
5,name language browser microsoft internet explorer customer number telephone summary need update ticket need resolve aerp,0
6,hostname disk volume space consume available,3
7,firewall warning software stop work,0
8,engineering tool work,0
9,please restore complete file hostname mitarbeiter azubis include file danke viele,3
10,unable log skype please advise,0
11,problem java,2
12,upload monthly report sid hana table zmc,4
13,hostname volume disk consume,3
14,erp sid password reset request,0
15,job fail scheduler,1
16,error message possible retrieve facet value start explore information space contain datum,4
17,nwfodmhc exurcwkm email internet browser importance high hello please help keep disconnect access week,0
18,happen every time try filter customer number bex hana use system primarily otc billing think issue regard client try filter copying pasting also import text file result idea fix error find log reference,4
19,setup new ewew,2
20,email query,0
21,hostname tool tax interface app average sample total cpu error threshold,3
22,hello system disk server hostname full please check virtual center,3
23,job hostname fail fail scheduler,1
24,fen essa presse box blinkt dauerhaft,2
25,hello follow staff need access stand history skv alicona kudhnyuhnm kesrgtyu rockehsty koiergyvh simekdty comparison beckshtywsnh beckshtyw,2
26,install hardcopy ewew,2
27,iphone crm app install,0
28,hallo ich chte gerne das der suche auch meine telefon erscheint,2
29,monitor tauschen,2
30,interface switch company deu germany emsw access since,1
31,job bwhrattr fail scheduler,4
32,monitor disk fail localhost outside expect limit true,1
33,job fail scheduler,4
34,hostname volume label dat deb server space consume available,3
35,guten morgen dhthykts die kamera den neuen monitor anzuschlie ben tigen wir ein kabel von hdmi auf diesen hellgrauen anschluss dell ist zumindest erste aufgebaut fall andere alternativen gibt sind nat rlich auch daf offen,2
36,lean tracker opening,0
37,keyboard break eewhse,2
38,access time recording network,2
39,job hostname fail fail scheduler,1
40,please unlock erp account user murakt,0
41,job sid arc fail scheduler,1
42,job fail scheduler,4
43,job fail scheduler,4
44,"hello mr . dwfiykeo argentxmvcumar help team , please synchronize two network , must identical , datum currently correct , many thank advance , sincerely , mafghyrina ntner specialist share service company gmbh gesch ftsf hrer",3
45,abende job scheduler,4
46,job sid hoti fail scheduler,1
47,lhqsm fim production miiserver exe wrong number instance process expect gte find time e,3
48,job fail scheduler,4
49,telephony software configure,0
50,problem computer remain ngen,2
51,ticket update inplant,0
52,job fail scheduler,4
53,monitor video messmaschine liefern oziflwma nhgvmqdl,2
54,job fail scheduler,4
55,job fail scheduler,1
56,provide access hnynhsth jsuyhwssad user pragtyhusas network folder hostname transition infrastructure security operation,3
57,job fail scheduler,1
58,gso please unlock erp sid linz,0
59,reset ess password,0
60,laserjet copier show error message transfer unit miss,2
61,job fail scheduler,4
62,type outage network circuit power please specify top cert site yes start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc start additional diagnostic,1
63,wiksufty jimdghty manager believe user need change zazrtuld carmer craigfgh cardfrmeca please confirm change wilsfgtjl povich trtgoy mgr povictcfgt current andrdgrtew mohnrysu mapping mondhrbaz johthryu marftgytin magtyrtijc,4
64,job fail scheduler,4
65,job sid filesys fail scheduler,1
66,ebhsm volume label dat dcc server space consume available,3
67,problem lan computer eroding machine,2
68,job fail scheduler,1
69,job fail scheduler,1
70,job fail scheduler,1
71,able switch tape week,3
72,job fail scheduler,4
73,map network drive,0
74,job bwhrertran fail scheduler,4
75,ticket update inplant,0
76,consultant unable login citrix attach error screenshot kindly needful,3
77,job sid arc fail scheduler,1
78,please provide read write access frseoupk feluybrn karghytuthik follow network folder hostname grinding,3
79,job fail scheduler,4
80,job fail scheduler,4
81,problem erpgui,2
82,account lock password reset,0
83,hostname average sample disk free,3
84,trigger load fill rate recovery kba,4
85,job fail scheduler,1
86,type outage network circuit power please specify top cert site yes start edt schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc start additional diagnostic,1
87,hello datum dierppeare bex productmanagement master find reason anybody change key figure name sale revenue total addition new net value nobody inform change different content two figure immediately need back report work well,4
88,support calculator measure device,2
89,early start chat rakthyesh pull report though hana select analysis tab refresh thing go display need filter template add plant would select box empty see attach something ask close reopen reopen go able refresh filter fix still try white see long show hit could spreadsheet say ticket copy buy need run send email go back chance problem please correct customer service supervisor cec infrastructure,4
90,please restore weste hostname file operational rule facility bonus docx thank much good,3
91,problem print measure machine,2
92,unable make receive call skype times warehouse tool thru hehr toolhone audible hear speake,0
93,apusm volume label dat hostname deb space consume available,3
94,wireless access point work,2
95,job fail scheduler,4
96,abende job scheduler,4
97,job fail scheduler,1
98,vip unable access collaboration platform,0
99,ticket update,0
100,outage erp sid,0
101,job fail scheduler,4
102,unlocked account todd able get successfully,0
103,mouse break,2
104,report working show datum laurent open within report tool browser link use follow site certify content view dailyorderbillingreport mtd ctry iid output per attach,4
105,job fail scheduler,4
106,abende job scheduler,4
107,internal error unable find process probe fail start command exe insufficient system resource exist complete requested service,3
108,apac company two switch since chn access,1
109,hostname kisp iis app server production disk free warning threshold,3
110,job bkwin hostname inc fail scheduler,1
