,Description,Assignment group
8135,tool unable connect server time recording work instal user telefon,17
2366,hello show blue side many white letter type optiplex please help well,17
5167,install zebra,17
7781,barcode scanner defective,17
7201,pick old equipment,17
2833,setup new,17
2819,problem companyguest,17
6940,problem erpgui,17
7070,wireless access point work,17
1650,probleme mit tool,17
2693,support alicona,17
4422,problem batch management,17
2366,hello show blue side many white letter type optiplex please help well,17
5622,connection workstation server uxhq normal printing work unable print label fine win system issue printer wezeb barcode,17
4678,hello computer shift foreman gabryl tk byczkowski stankewitz defective please come,17
4944,barcode scanner defect paternoster bur orde,17
2692,problem print measure machine,17
2918,problem portal,17
5269,defective fiber optic cable box,17
2833,setup new,17
6941,pick old equipment,17
4421,problem office,17
2693,support alicona,17
2910,problem,17
6009,hello printer scan properly anymore message job complete go detail say registration error please check fen friday still work saturday occur,17
7501,setup new,17
8174,data backup und restore,17
768,backup computer lasplant,17
3956,mouse stop work please replace,17
3960,registration skype,17
4316,install pulverleitstand,17
5167,install zebra,17
3960,registration skype,17
5622,connection workstation server uxhq normal printing work unable print label fine win system issue printer wezeb barcode,17
8143,problem computer ewew defective sector,17
5610,regenerate computer ewewewew,17
1887,problem printer queue currently run,17
6155,support umbau ewew,17
5525,problem erpgui ewewx,17
6170,support hrmann,17
6004,network scan available please den,17
4945,usb verl ngerungskabel liefern,17
5539,setup new computer repair,17
1759,monitor defective,17
455,picture book exchange printer,17
7870,install bit version office blank production,17
1757,setup ewewx,17
2169,problem,17
306,support,17
3406,install tool bls calculator olympus,17
3051,setup new,17
5048,problleme mit tool,17
2819,problem companyguest,17
7348,problem open document intranet internet explorer,17
903,obleme mit barcode etiketten volume format gro,17
2170,hello drop laboratory monitor rfa analyzer defective contact person,17
3547,access point defekt,17
4423,problem batch management,17
747,reinstall hardcopy und tool,17
5768,quick reactivate account laptop ewel,17
4845,install company barcode ewew,17
5675,reinstall office,17
1269,sign error lync,17
2169,problem,17
4943,computer measure device steli work,17
4945,usb verl ngerungskabel liefern,17
7780,setup new,17
8135,tool unable connect server time recording work instal user telefon,17
2065,install drucker ewew,17
760,kabel lan liefern gogtyekhan merdivan,17
2910,problem,17
7868,setun new michghytuael luesebrink,17
5836,printer print,17
904,setup new,17
4841,cable vga defective banknote,17
6455,probleme mit archiving tool,17
3831,please switch configure printer,17
2915,install ewew,17
3661,hello need new decent mouse hre sch bring we short notice nnuacyltoe hxgaycze,17
3660,hello need new decent mouse hre sch bring we short notice nnuacyltoe hxgaycze,17
3256,support calculator measure device,17
7344,problem lan,17
3957,brauche eine neue funktionierende maus,17
6746,printer work,17
5407,setup computer information stand repair,17
6308,setup new instandsetzung,17
7501,setup new,17
8178,problem printer uacyltoe hxgayczeraum reinhard ger,17
6311,support umzug,17
7778,problem erpgui,17
3414,probleme mit collaboration platform infopath,17
5406,fen essa presse box blinkt dauerhaft,17
454,support thrydsss funke,17
5832,setup new strahlraum,17
7776,setup new,17
6308,setup new instandsetzung,17
7343,install,17
2243,hello port ewew deliver correct please fen,17
6002,monitor tauschen,17
4313,hello monitor ahmet materiallager cause problem please take look,17
5409,externe festplatte verf gung stellen alte nobook,17
7656,setup new,17
3541,problem erpgui,17
2365,tool ewew work,17
904,setup new,17
7781,barcode scanner defective,17
4313,hello monitor ahmet materiallager cause problem please take look,17
7656,setup new,17
4313,hello monitor ahmet materiallager cause problem please take look,17
453,problem erpgui,17
3945,access time recording network,17
7506,hello unlock password please user block set welcome,17
5836,printer print,17
4680,problem accespoint conference room find,17
4946,computer update start ewew,17
5185,problem printer print,17
6745,problem outlook,17
6455,probleme mit archiving tool,17
6265,please activate ewew account,17
3812,hello follow staff need access stand history skv alicona kudhnyuhnm kesrgtyu rockehsty koiergyvh simekdty comparison beckshtywsnh beckshtyw,17
8140,install pdf mailer,17
8143,problem computer ewew defective sector,17
1660,computer erode machine defective,17
4543,canner metroligic calculator defective zedlet,17
5525,problem erpgui ewewx,17
4172,swap printer gogtyek,17
5525,problem erpgui ewewx,17
5537,problem label print laser,17
5622,connection workstation server uxhq normal printing work unable print label fine win system issue printer wezeb barcode,17
2390,hello copi training room also break minolta please look,17
6456,problem erpgui,17
5191,install tool und zebra ewew,17
8135,tool unable connect server time recording work instal user telefon,17
6002,monitor tauschen,17
1635,problem tool error cancel order,17
1269,sign error lync,17
5261,keyboard break,17
8355,setup new,17
5269,defective fiber optic cable box,17
5083,install win ewew,17
2243,hello port ewew deliver correct please fen,17
